unique_id,name,phone,twitter,location,canon_url,categories,verified,stats,likes,dislike,ok,rating,photos,reasons,tips,short_url,timezone,listed,attributes
50674355e4b0da82c677ec80,14th Planet,{},{},"['Colorado', 'United States']",https://foursquare.com/v/14th-planet/50674355e4b0da82c677ec80,Cupcake Shop,False,0,0,False,False,NaN,0,0,0,http://4sq.com/SMSDdy,America/Denver,0,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$$', 'priceTier': 2}]}]}"
49e81957f964a5203f651fe3,Sushi Zanmai,3034400733,{},"['1221 Spruce St (Btw Broadway & 13th)', 'Boulder, CO 80302', 'United States']",https://foursquare.com/v/sushi-zanmai/49e81957f964a5203f651fe3,Sushi Restaurant,False,34,77,False,False,8.3,121,1,34,http://4sq.com/8XSzsG,America/Denver,28,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$$', 'priceTier': 2}]}, {'type': 'reservations', 'name': 'Reservations', 'summary': 'Reservations', 'count': 3, 'items': [{'displayName': 'Reservations', 'displayValue': 'Yes'}]}, {'type': 'payments', 'name': 'Credit Cards', 'summary': 'Credit Cards', 'count': 7, 'items': [{'displayName': 'Credit Cards', 'displayValue': 'Yes (incl. American Express)'}]}, {'type': 'outdoorSeating', 'name': 'Outdoor Seating', 'count': 1, 'items': [{'displayName': 'Outdoor Seating', 'displayValue': 'No'}]}, {'type': 'serves', 'name': 'Menus', 'summary': 'Happy Hour, Dinner & more', 'count': 8, 'items': [{'displayName': 'Lunch', 'displayValue': 'Lunch'}, {'displayName': 'Dinner', 'displayValue': 'Dinner'}, {'displayName': 'Happy Hour', 'displayValue': 'Happy Hour'}]}, {'type': 'drinks', 'name': 'Drinks', 'summary': 'Cocktails', 'count': 5, 'items': [{'displayName': 'Cocktails', 'displayValue': 'Cocktails'}]}, {'type': 'diningOptions', 'name': 'Dining Options', 'count': 5, 'items': [{'displayName': 'Delivery', 'displayValue': 'No Delivery'}]}]}"
53234a7d498e183bd0619e9e,Spaceman USA,8886105520,spacemanus,"['4699 Nautilus Ct S #100', 'Boulder, CO 80301', 'United States']",https://foursquare.com/v/spaceman-usa/53234a7d498e183bd0619e9e,Frozen Yogurt Shop,False,0,0,False,False,NaN,0,0,0,http://4sq.com/OcNgVd,America/Denver,0,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$', 'priceTier': 1}]}]}"
4f0e575fe4b0a91e15122d9c,Nathan And Dave's Kitchen!,{},{},"['2200 Canyon #6', 'Boulder, CO 80302', 'United States']",https://foursquare.com/v/nathan-and-daves-kitchen/4f0e575fe4b0a91e15122d9c,Donut Shop,False,0,0,False,False,NaN,0,0,0,http://4sq.com/Aa80qu,America/Denver,0,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$', 'priceTier': 1}]}]}"
5356b099498e360e9ca3725e,Tacos del Norte,{},{},"['Boulder, CO 80304', 'United States']",https://foursquare.com/v/tacos-del-norte/5356b099498e360e9ca3725e,Food Truck,False,2,3,False,False,NaN,1,0,2,http://4sq.com/1hdnBa3,America/Denver,1,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$', 'priceTier': 1}]}, {'type': 'serves', 'name': 'Menus', 'summary': 'Happy Hour', 'count': 8, 'items': [{'displayName': 'Happy Hour', 'displayValue': 'Happy Hour'}]}]}"
4e4eb648628441666983e883,95a Bistro & Sushi,3036653080,95a_bistrosushi,"['1381 Forest Park Cir', 'Lafayette, CO 80026', 'United States']",https://foursquare.com/v/95a-bistro--sushi/4e4eb648628441666983e883,Sushi Restaurant,True,16,41,False,False,7.6,50,1,16,http://4sq.com/prD9It,America/Denver,6,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$$', 'priceTier': 2}]}, {'type': 'reservations', 'name': 'Reservations', 'summary': 'Reservations', 'count': 3, 'items': [{'displayName': 'Reservations', 'displayValue': 'Yes'}]}, {'type': 'payments', 'name': 'Credit Cards', 'summary': 'Credit Cards', 'count': 7, 'items': [{'displayName': 'Credit Cards', 'displayValue': 'Yes (incl. Discover & Visa)'}]}, {'type': 'outdoorSeating', 'name': 'Outdoor Seating', 'summary': 'Outdoor Seating', 'count': 1, 'items': [{'displayName': 'Outdoor Seating', 'displayValue': 'Yes'}]}, {'type': 'serves', 'name': 'Menus', 'summary': 'Dinner, Lunch & more', 'count': 8, 'items': [{'displayName': 'Brunch', 'displayValue': 'Brunch'}, {'displayName': 'Lunch', 'displayValue': 'Lunch'}, {'displayName': 'Dinner', 'displayValue': 'Dinner'}]}, {'type': 'diningOptions', 'name': 'Dining Options', 'count': 5, 'items': [{'displayName': 'Delivery', 'displayValue': 'No Delivery'}]}]}"
59308469bfc6d012c00528e3,What The Fork Food Truck,7349454326,whattheforkfood,"['Boulder, CO 80302', 'United States']",https://foursquare.com/v/what-the-fork-food-truck/59308469bfc6d012c00528e3,Food Truck,False,0,0,False,False,NaN,1,0,0,http://4sq.com/2rpM9Xi,America/Denver,0,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$', 'priceTier': 1}]}]}"
4bd9058a11dcc92879c9f833,Rueben's Burger Bistro,3034435000,ruebensboulder,"['1800 Broadway (at Walnut St.)', 'Boulder, CO 80302', 'United States']",https://foursquare.com/v/ruebens-burger-bistro/4bd9058a11dcc92879c9f833,Burger Joint,False,51,71,False,False,7.1,140,1,51,http://4sq.com/cghZ5V,America/Denver,34,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$$', 'priceTier': 2}]}, {'type': 'payments', 'name': 'Credit Cards', 'summary': 'Credit Cards', 'count': 7, 'items': [{'displayName': 'Credit Cards', 'displayValue': 'Yes'}]}, {'type': 'outdoorSeating', 'name': 'Outdoor Seating', 'summary': 'Outdoor Seating', 'count': 1, 'items': [{'displayName': 'Outdoor Seating', 'displayValue': 'Yes'}]}, {'type': 'wifi', 'name': 'Wi-Fi', 'summary': 'Wi-Fi', 'count': 1, 'items': [{'displayName': 'Wi-Fi', 'displayValue': 'Yes'}]}, {'type': 'serves', 'name': 'Menus', 'summary': 'Dinner, Lunch & more', 'count': 8, 'items': [{'displayName': 'Brunch', 'displayValue': 'Brunch'}, {'displayName': 'Lunch', 'displayValue': 'Lunch'}, {'displayName': 'Dinner', 'displayValue': 'Dinner'}]}, {'type': 'drinks', 'name': 'Drinks', 'summary': 'Beer, Full Bar & Cocktails', 'count': 5, 'items': [{'displayName': 'Beer', 'displayValue': 'Beer'}, {'displayName': 'Full Bar', 'displayValue': 'Full Bar'}, {'displayName': 'Cocktails', 'displayValue': 'Cocktails'}]}, {'type': 'diningOptions', 'name': 'Dining Options', 'summary': 'Table Service, Bar Service & Take-out', 'count': 5, 'items': [{'displayName': 'Table Service', 'displayValue': 'Table Service'}, {'displayName': 'Bar Service', 'displayValue': 'Bar Service'}, {'displayName': 'Take-out', 'displayValue': 'Take-out'}, {'displayName': 'Delivery', 'displayValue': 'No Delivery'}]}]}"
49d90d3af964a520f65d1fe3,McDonald's,3034434700,mcdonalds,"['1800 28th St', 'Boulder, CO 80301', 'United States']",https://foursquare.com/v/mcdonalds/49d90d3af964a520f65d1fe3,Fast Food Restaurant,True,5,18,False,False,6.0,16,0,5,http://4sq.com/9KXxke,America/Denver,1,"{'groups': [{'type': 'price', 'name': 'Price', 'summary': '$', 'count': 1, 'items': [{'displayName': 'Price', 'displayValue': '$', 'priceTier': 1}]}, {'type': 'outdoorSeating', 'name': 'Outdoor Seating', 'count': 1, 'items': [{'displayName': 'Outdoor Seating', 'displayValue': 'No'}]}, {'type': 'serves', 'name': 'Menus', 'summary': 'Dinner, Breakfast & more', 'count': 8, 'items': [{'displayName': 'Breakfast', 'displayValue': 'Breakfast'}, {'displayName': 'Brunch', 'displayValue': 'Brunch'}, {'displayName': 'Lunch', 'displayValue': 'Lunch'}, {'displayName': 'Dinner', 'displayValue': 'Dinner'}]}, {'type': 'diningOptions', 'name': 'Dining Options', 'count': 5, 'items': [{'displayName': 'Delivery', 'displayValue': 'No Delivery'}]}]}"
4f323d1c19836c91c7c3d9dd,Bj's Restaurant and Brewery - Boulder,3034029294,{},"['1125 Pearl St', 'Boulder, CO 80302', 'United States']",https://foursquare.com/v/bjs-restaurant-and-brewery--boulder/4f323d1c19836c91c7c3d9dd,Food,False,0,0,False,False,NaN,0,0,0,http://4sq.com/RnveOX,America/Denver,1,{'groups': []}
